No,Year,ODV,ONC,ODD,Order,ID,YID,Species_vi,Species_en,Species_sci,Peri_cm,DBH_cm,Ht_m,Hdc_m,E_m,W_m,S_m,N_m,Quality,Long,Lat,Ghi_chu,Note,Hreg_m,AGB_Hreg,AGB_Ho,AGB_kg
1,2020,17,3,3,2,17_3_3_2,2020_17_3_3_2,Vỏ mản,Vo man,Ficus glandulifera Wall,27.1,8.6,6,0,0,0,0,0,a,103.8009477,22.32255294,0,0,7.328318186,17.56300392,15.53635666,15.53635666
2,2020,17,3,3,1,17_3_3_1,2020_17_3_3_1,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,28.5,9.1,8,0,0,0,0,0,c,103.8009429,22.32255291,CN,Broken on top,7.553357849,20.1630271,20.88586824,20.88586824
3,2020,17,3,3,3,17_3_3_3,2020_17_3_3_3,Mạ sưa,Ma sua,Helicia nilagirica Bedd,35.2,11.2,6,0,0,0,0,0,b,103.8009077,22.32254831,Cung goc,Same stump,8.441194713,33.48511871,27.16177406,27.16177406
4,2020,17,3,3,4,17_3_3_4,2020_17_3_3_4,Mạ sưa,Ma sua,Helicia nilagirica Bedd,38,12.1,5.5,0,0,0,0,0,b,103.8009101,22.32254833,Cung goc,Same stump,8.797710281,40.44407095,30.32342078,30.32342078
5,2020,17,3,3,8,17_3_3_8,2020_17_3_3_8,Kháo vòng,Khao vong,Macchilus sp,47,15,11,0,0,0,0,0,a,103.8009419,22.32250792,Cung goc,Same stump,9.869799698,68.35897839,73.05719207,73.05719207
6,2020,17,3,3,9,17_3_3_9,2020_17_3_3_9,Kháo vòng,Khao vong,Macchilus sp,46.5,14.8,12,0,0,0,0,0,a,103.8009451,22.32250794,Cung goc,Same stump,9.7991472,66.15373017,74.90362291,74.90362291
7,2020,17,3,3,10,17_3_3_10,2020_17_3_3_10,Kháo vòng,Khao vong,Macchilus sp,45.5,14.5,12,0,0,0,0,0,a,103.8009435,22.3224989,0,0,9.692330964,62.92562368,71.72893777,71.72893777
8,2020,17,3,3,12,17_3_3_12,2020_17_3_3_12,Kháo vòng,Khao vong,Macchilus sp,48.5,15.4,8.5,0,0,0,0,0,a,103.8009585,22.32250325,0,0,10.00980357,72.8982419,65.9451545,65.9451545
9,2020,17,3,3,13,17_3_3_13,2020_17_3_3_13,Kháo vòng,Khao vong,Macchilus sp,56.5,18,11.5,0,0,0,0,0,a,103.8009569,22.32250803,Cung goc,Same stump,10.8814634,106.7162626,110.3955242,110.3955242
10,2020,17,3,3,14,17_3_3_14,2020_17_3_3_14,Kháo vòng,Khao vong,Macchilus sp,32.7,10.4,10,0,0,0,0,0,b,103.8009594,22.32250805,Cung goc,Same stump,8.112938852,27.940012,31.76211635,31.76211635
11,2020,17,3,3,15,17_3_3_15,2020_17_3_3_15,Kháo vòng,Khao vong,Macchilus sp,56.8,18.1,11,0,0,0,0,0,a,103.8009627,22.32251241,0,0,10.91377685,108.1704139,108.6935646,108.6935646
12,2020,17,3,3,18,17_3_3_18,2020_17_3_3_18,Côm tầng,Com tang,Elaeocarpus griffithii (Wight.) A. Gray,121.5,38.7,17,0,0,0,0,0,a,103.801045,22.32250877,NA,NA,16.39129457,692.4012798,708.0545352,708.0545352
13,2020,17,3,3,19,17_3_3_19,2020_17_3_3_19,Trường mật,Truong mat,Paviesia annamensis Pierre,108.9,34.7,19,0,0,0,0,0,a,103.8010268,22.3224408,NA,NA,15.46158404,530.4051326,601.8384528,601.8384528
14,2020,17,3,3,21,17_3_3_21,2020_17_3_3_21,Vỏ mản,Vo man,Ficus glandulifera Wall,32.5,10.4,6,0,0,0,0,0,a,103.8010265,22.32243195,Chet do,Dead and fallen,8.112938852,27.940012,23.22169753,23.22169753
15,2020,17,3,3,22,17_3_3_22,2020_17_3_3_22,Vỏ mản,Vo man,Ficus glandulifera Wall,26.7,8.5,6,0,0,0,0,0,b,103.8010292,22.32243196,NA,NA,7.282586989,17.06828246,15.15678192,15.15678192
16,2020,17,3,3,25,17_3_3_25,2020_17_3_3_25,Chân chim,Chan chim,Schefflera octophylla (Lour.) Harms,46.3,14.7,6.5,0,0,0,0,0,b,103.8009979,22.32241791,NA,NA,9.763654564,65.06709115,50.70224679,50.70224679
17,2020,17,3,3,26,17_3_3_26,2020_17_3_3_26,Thừng mực lông,Thung muc long,Wrightia pubescens R. Br,34.5,11,6,0,0,0,0,0,b,103.8009826,22.32243596,NA,NA,8.360181048,32.04313592,26.14623188,26.14623188
18,2020,17,3,3,27,17_3_3_27,2020_17_3_3_27,Thừng mực lông,Thung muc long,Wrightia pubescens R. Br,65,20.7,9.5,0,0,0,0,0,a,103.8009442,22.32241752,NA,NA,11.7266424,150.1453191,131.9604401,131.9604401
19,2020,17,3,3,28,17_3_3_28,2020_17_3_3_28,Ba soi,Ba soi,Macaranga denticulata,92,29.3,18.5,0,0,0,0,0,a,103.800949,22.3224629,NA,NA,14.12329795,350.8688438,414.0206059,414.0206059
20,2020,17,3,3,29,17_3_3_29,2020_17_3_3_29,Mạ sưa,Ma sua,Helicia nilagirica Bedd,71,22.6,11.5,0,0,0,0,0,a,103.8009339,22.32245393,NA,NA,12.29095844,186.0719362,178.6362936,178.6362936
21,2020,17,3,3,30,17_3_3_30,2020_17_3_3_30,Vỏ mản,Vo man,Ficus glandulifera Wall,30,9.6,6.5,0,0,0,0,0,b,103.8009443,22.32244922,NA,NA,7.772719809,22.97760948,20.5916766,20.5916766
22,2020,17,3,3,33,17_3_3_33,2020_17_3_3_33,Vỏ mản,Vo man,Ficus glandulifera Wall,31.5,10,8,0,0,0,0,0,a,103.8008551,22.32248921,Cung goc,Same stump,7.944411093,25.3872208,25.49598514,25.49598514
23,2020,17,3,3,34,17_3_3_34,2020_17_3_3_34,Vỏ mản,Vo man,Ficus glandulifera Wall,30.5,9.7,8,0,0,0,0,0,a,103.8008579,22.32248923,Cung goc,Same stump,7.81594954,23.56672852,23.90543556,23.90543556
24,2020,17,3,3,35,17_3_3_35,2020_17_3_3_35,Thừng mực lông,Thung muc long,Wrightia pubescens R. Br,69.2,22,10,0,0,0,0,0,a,103.8008713,22.32242149,NA,NA,12.11522155,174.2341451,154.8969305,154.8969305
25,2020,17,3,3,36,17_3_3_36,2020_17_3_3_36,Trường mật,Truong mat,Paviesia annamensis Pierre,79,25.2,10.5,0,0,0,0,0,a,103.800886,22.32241257,NA,NA,13.02858282,242.7798562,212.6965028,212.6965028
26,2020,17,3,3,38,17_3_3_38,2020_17_3_3_38,Thừng mực lông,Thung muc long,Wrightia pubescens R. Br,81.3,25.9,10,0,0,0,0,0,a,103.80091,22.3224309,NA,NA,13.22104603,259.586283,218.7427499,218.7427499
27,2020,17,3,3,40,17_3_3_40,2020_17_3_3_40,Trâm vối,Tram voi,Syzygium cuminii (L.) Skeels,35.5,11.3,9,0,0,0,0,0,a,103.8009153,22.32238189,Cung goc,Same stump,8.481449337,34.22020602,35.48817787,35.48817787
28,2020,17,3,3,39,17_3_3_39,2020_17_3_3_39,Trâm vối,Tram voi,Syzygium cuminii (L.) Skeels,48,15.3,9,0,0,0,0,0,a,103.8009131,22.32238188,Cung goc,Same stump,9.97496263,71.74725144,67.36260084,67.36260084
29,2020,17,3,3,41,17_3_3_41,2020_17_3_3_41,Trâm vối,Tram voi,Syzygium cuminii (L.) Skeels,34,10.8,8.5,0,0,0,0,0,a,103.8009177,22.32238191,Cung goc,Same stump,8.278479817,30.63849256,31.13856739,31.13856739
30,2020,17,3,3,42,17_3_3_42,2020_17_3_3_42,Trâm vối,Tram voi,Syzygium cuminii (L.) Skeels,39,12.4,8.5,0,0,0,0,0,a,103.8009198,22.32238193,Cung goc,Same stump,8.913789379,42.9376967,41.70443573,41.70443573
31,2020,17,3,3,43,17_3_3_43,2020_17_3_3_43,Vỏ mản,Vo man,Ficus glandulifera Wall,28.2,9,6,0,0,0,0,0,c,103.8009393,22.32244918,CN,Broken on top,7.50881886,19.62602511,17.10424532,17.10424532
32,2020,17,3,4,1,17_3_4_1,2020_17_3_4_1,Trâm vối,Tram voi,Syzygium cuminii (L.) Skeels,55.8,17.8,0,0,0,0,0,0,a,103.8012299,22.32255521,NA,NA,10.81658518,103.8427626,0,103.8427626
33,2020,17,3,4,3,17_3_4_3,2020_17_3_4_3,Mạ sưa,Ma sua,Helicia nilagirica Bedd,70.2,22.4,0,0,0,0,0,0,a,103.801205,22.32254148,NA,NA,12.23262314,182.0749083,0,182.0749083
34,2020,17,3,4,4,17_3_4_4,2020_17_3_4_4,Cây bạc,Cay bac,Kurrima robusta Kuzz,55,17.5,0,0,0,0,0,0,b,103.8011896,22.32250975,Cung goc,Same stump,10.71862914,99.61908826,0,99.61908826
