No,Year,ODV,ONC,ODD,Order,ID,YID,Species,Species_en,Species_sci,Peri_cm,DBH_cm,Ht_m,Hdc_m,E_m,W_m,S_m,N_m,Quality,Long,Lat,Ghi_chu,Note,Hreg_m,AGB_Hreg,AGB_Ho,AGB_kg
1,2020,83,3,1,1,83_3_1_1,2020_83_3_1_1,Kén,Ken,Khongbiet,161.5,51.43312102,30,0,0,0,0,0,A,105.1186577,20.9581293,0,0,17.01731889,1292.954143,1830.403372,1830.403372
2,2020,83,3,1,2,83_3_1_2,2020_83_3_1_2,Thị,Thi,Ebennaceae,189,60.1910828,32,0,0,0,0,0,A,105.1186776,20.95812857,0,0,17.90425285,1860.070383,2655.518808,2655.518808
3,2020,83,3,1,3,83_3_1_3,2020_83_3_1_3,Thị,Thi,Ebennaceae,82,26.11464968,22,0,0,0,0,0,B,105.1186572,20.95810165,0,0,13.31842026,265.3481115,360.9552702,360.9552702
4,2020,83,3,1,4,83_3_1_4,2020_83_3_1_4,Thị,Thi,Ebennaceae,98,31.21019108,19,0,0,0,0,0,A,105.118767,20.95814838,0,0,14.27080978,403.5690558,480.9824655,480.9824655
5,2020,83,3,1,5,83_3_1_5,2020_83_3_1_5,Vàng anh,Vang anh,Saraca dives,23,7.324840764,7,0,0,0,0,0,B,105.1187744,20.95814811,0,0,7.015403741,12.17804084,12.16163997,12.16163997
6,2020,83,3,1,6,83_3_1_6,2020_83_3_1_6,Côm tầng,Com tang,Elaeocarpus griffithii (Wight.) A. Gray,63,20.06369427,18.5,0,0,0,0,0,A,105.1187869,20.95814521,0,0,11.93849046,142.1031117,185.8783836,185.8783836
7,2020,83,3,1,7,83_3_1_7,2020_83_3_1_7,Thừng mực,Thung muc,Wrightia tomentosa,106,33.75796178,18,0,0,0,0,0,B,105.1187796,20.95811693,0,0,14.69482462,485.0492624,549.2940862,549.2940862
8,2020,83,3,1,8,83_3_1_8,2020_83_3_1_8,Thị,Thi,Ebennaceae,73,23.24840764,18.5,0,0,0,0,0,A,105.1187978,20.95809767,0,0,12.70550231,201.6011885,253.8275032,253.8275032
9,2020,83,3,1,10,83_3_1_10,2020_83_3_1_10,Chò chỉ,Cho chi,Parashorea chinensis,61,19.42675159,14,0,0,0,0,0,A,105.1188182,20.95809883,0,0,11.7720085,131.5935262,146.3481175,146.3481175
10,2020,83,3,1,11,83_3_1_11,2020_83_3_1_11,Chìa vôi,Chia voi,Cissus modeccoides,50.5,16.08280255,10,0,0,0,0,0,A,105.1188341,20.95811499,0,0,10.80815094,83.75178986,79.85481595,79.85481595
11,2020,83,3,1,12,83_3_1_12,2020_83_3_1_12,Vàng anh,Vang anh,Saraca dives,97,30.89171975,12.5,0,0,0,0,0,B,105.1188317,20.95813008,Same stump with 13,Same stump with 13,14.21560116,393.9723408,364.1001847,364.1001847
12,2020,83,3,1,13,83_3_1_13,2020_83_3_1_13,Vàng anh,Vang anh,Saraca dives,115,36.62420382,14,0,0,0,0,0,A,105.1188331,20.95812972,Same stump with 12,Same stump with 12,15.13816123,586.8770587,559.4166627,559.4166627
13,2020,83,3,1,14,83_3_1_14,2020_83_3_1_14,Gội,Goi,Amoora gigantea,130,41.40127389,18,0,0,0,0,0,C,105.1188404,20.95814237,0,0,15.81078467,781.1352784,845.7762407,845.7762407
14,2020,83,3,1,15,83_3_1_15,2020_83_3_1_15,Chìa vôi,Chia voi,Cissus modeccoides,47,14.96815287,16,0,0,0,0,0,A,105.1188401,20.95806204,0,0,10.44669603,70.464286,91.51220459,91.51220459
15,2020,83,3,1,16,83_3_1_16,2020_83_3_1_16,Vàng anh,Vang anh,Saraca dives,101,32.1656051,15,0,0,0,0,0,A,105.1187998,20.95806369,0,0,14.43340149,433.1400009,443.4870051,443.4870051
